Label,Desc,Decision Option,Trade_off
Excluding Family Labour,1,rice-maize-coconut-areca palm,-512.2794016
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3479.311941
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3183.089608
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6875.195328
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4771.905727
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3342.125398
Excluding Family Labour,1,rice-maize-coconut-areca palm,1337.648572
Excluding Family Labour,1,rice-maize-coconut-areca palm,16.63744854
Excluding Family Labour,1,rice-maize-coconut-areca palm,6821.669244
Excluding Family Labour,1,rice-maize-coconut-areca palm,-683.4572169
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1843.472379
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4352.825326
Excluding Family Labour,1,rice-maize-coconut-areca palm,2216.844102
Excluding Family Labour,1,rice-maize-coconut-areca palm,3689.11717
Excluding Family Labour,1,rice-maize-coconut-areca palm,1413.938235
Excluding Family Labour,1,rice-maize-coconut-areca palm,8063.799369
Excluding Family Labour,1,rice-maize-coconut-areca palm,-10070.26126
Excluding Family Labour,1,rice-maize-coconut-areca palm,1451.462351
Excluding Family Labour,1,rice-maize-coconut-areca palm,-817.9068983
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5705.351419
Excluding Family Labour,1,rice-maize-coconut-areca palm,430.0458134
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1160.303188
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1923.142573
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1896.265169
Excluding Family Labour,1,rice-maize-coconut-areca palm,-11077.83658
Excluding Family Labour,1,rice-maize-coconut-areca palm,474.0953826
Excluding Family Labour,1,rice-maize-coconut-areca palm,394.433492
Excluding Family Labour,1,rice-maize-coconut-areca palm,131.1173705
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2082.869443
Excluding Family Labour,1,rice-maize-coconut-areca palm,-546.8263651
Excluding Family Labour,1,rice-maize-coconut-areca palm,-143.7495983
Excluding Family Labour,1,rice-maize-coconut-areca palm,564.3016156
Excluding Family Labour,1,rice-maize-coconut-areca palm,260.5240795
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4500.218683
Excluding Family Labour,1,rice-maize-coconut-areca palm,-7397.904941
Excluding Family Labour,1,rice-maize-coconut-areca palm,1503.228063
Excluding Family Labour,1,rice-maize-coconut-areca palm,3077.706038
Excluding Family Labour,1,rice-maize-coconut-areca palm,7125.809672
Excluding Family Labour,1,rice-maize-coconut-areca palm,487.4132073
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1518.475586
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2517.017122
Excluding Family Labour,1,rice-maize-coconut-areca palm,3856.568603
Excluding Family Labour,1,rice-maize-coconut-areca palm,-569.8220297
Excluding Family Labour,1,rice-maize-coconut-areca palm,-543.9489647
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4143.204275
Excluding Family Labour,1,rice-maize-coconut-areca palm,722.7156685
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6141.20646
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4737.24781
Excluding Family Labour,1,rice-maize-coconut-areca palm,10328.17297
Excluding Family Labour,1,rice-maize-coconut-areca palm,103.4825957
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1329.312561
Excluding Family Labour,1,rice-maize-coconut-areca palm,3386.029097
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4692.39355
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5863.834504
