Label,Desc,Decision Option,Tradeoff
Including Family Labour,2,rubber-areca palm-durian,9130.836363
Including Family Labour,2,rubber-areca palm-durian,5560.933253
Including Family Labour,2,rubber-areca palm-durian,13366.96571
Including Family Labour,2,rubber-areca palm-durian,16331.63274
Including Family Labour,2,rubber-areca palm-durian,7347.883427
Including Family Labour,2,rubber-areca palm-durian,21033.60528
Including Family Labour,2,rubber-areca palm-durian,21157.28924
Including Family Labour,2,rubber-areca palm-durian,7077.66842
Including Family Labour,2,rubber-areca palm-durian,11323.00125
Including Family Labour,2,rubber-areca palm-durian,14899.46412
Including Family Labour,2,rubber-areca palm-durian,6890.943341
Including Family Labour,2,rubber-areca palm-durian,14454.94728
Including Family Labour,2,rubber-areca palm-durian,6464.162662
Including Family Labour,2,rubber-areca palm-durian,11784.8625
Including Family Labour,2,rubber-areca palm-durian,10569.98896
Including Family Labour,2,rubber-areca palm-durian,3331.903746
Including Family Labour,2,rubber-areca palm-durian,37839.3441
Including Family Labour,2,rubber-areca palm-durian,28328.00924
Including Family Labour,2,rubber-areca palm-durian,15630.42803
Including Family Labour,2,rubber-areca palm-durian,29811.95168
Including Family Labour,2,rubber-areca palm-durian,10679.02934
Including Family Labour,2,rubber-areca palm-durian,7730.220012
Including Family Labour,2,rubber-areca palm-durian,11369.29904
Including Family Labour,2,rubber-areca palm-durian,13954.48598
Including Family Labour,2,rubber-areca palm-durian,10160.86031
Including Family Labour,2,rubber-areca palm-durian,16097.08803
Including Family Labour,2,rubber-areca palm-durian,4425.695873
Including Family Labour,2,rubber-areca palm-durian,8353.106195
Including Family Labour,2,rubber-areca palm-durian,13963.53399
Including Family Labour,2,rubber-areca palm-durian,6367.693828
Including Family Labour,2,rubber-areca palm-durian,22106.16722
Including Family Labour,2,rubber-areca palm-durian,11205.8172
Including Family Labour,2,rubber-areca palm-durian,9552.765543
Including Family Labour,2,rubber-areca palm-durian,12150.78082
Including Family Labour,2,rubber-areca palm-durian,7584.245654
Including Family Labour,2,rubber-areca palm-durian,7013.880032
Including Family Labour,2,rubber-areca palm-durian,14982.48694
Including Family Labour,2,rubber-areca palm-durian,19372.30011
Including Family Labour,2,rubber-areca palm-durian,12643.39843
Including Family Labour,2,rubber-areca palm-durian,28293.53884
Including Family Labour,2,rubber-areca palm-durian,45629.42362
Including Family Labour,2,rubber-areca palm-durian,15860.70371
Including Family Labour,2,rubber-areca palm-durian,19157.86389
Including Family Labour,2,rubber-areca palm-durian,17236.51228
Including Family Labour,2,rubber-areca palm-durian,3146.21525
Including Family Labour,2,rubber-areca palm-durian,11228.17857
Including Family Labour,2,rubber-areca palm-durian,18586.00399
Including Family Labour,2,rubber-areca palm-durian,15936.62507
Including Family Labour,2,rubber-areca palm-durian,8915.273366
Including Family Labour,2,rubber-areca palm-durian,8338.510287
Including Family Labour,2,rubber-areca palm-durian,4564.402776
Including Family Labour,2,rubber-areca palm-durian,10647.63285
Including Family Labour,2,rubber-areca palm-durian,9865.093862
Including Family Labour,2,rubber-areca palm-durian,8200.372547
Including Family Labour,2,rubber-areca palm-durian,15363.5063
Including Family Labour,2,rubber-areca palm-durian,26308.59234
Including Family Labour,2,rubber-areca palm-durian,6881.708946
Including Family Labour,2,rubber-areca palm-durian,7046.01399
Including Family Labour,2,rubber-areca palm-durian,3321.205207
Including Family Labour,2,rubber-areca palm-durian,9670.429813
Including Family Labour,2,rubber-areca palm-durian,14843.56185
Including Family Labour,2,rubber-areca palm-durian,17561.35871
Including Family Labour,2,rubber-areca palm-durian,16991.9778
Including Family Labour,2,rubber-areca palm-durian,11780.25427
Including Family Labour,2,rubber-areca palm-durian,19189.03749
Including Family Labour,2,rubber-areca palm-durian,20068.81566
Including Family Labour,2,rubber-areca palm-durian,6881.251916
Including Family Labour,2,rubber-areca palm-durian,17463.91564
Including Family Labour,2,rubber-areca palm-durian,12880.06978
Including Family Labour,2,rubber-areca palm-durian,10195.33307
Including Family Labour,2,rubber-areca palm-durian,18286.36834
Including Family Labour,2,rubber-areca palm-durian,18081.25843
Including Family Labour,2,rubber-areca palm-durian,14583.51599
Including Family Labour,2,rubber-areca palm-durian,19772.71535
Including Family Labour,2,rubber-areca palm-durian,14949.39794
Including Family Labour,2,rubber-areca palm-durian,10323.92217
Including Family Labour,2,rubber-areca palm-durian,25491.84642
Including Family Labour,2,rubber-areca palm-durian,15367.25669
Including Family Labour,2,rubber-areca palm-durian,13829.2057
Including Family Labour,2,rubber-areca palm-durian,6525.40902
Including Family Labour,2,rubber-areca palm-durian,22686.85186
Including Family Labour,2,rubber-areca palm-durian,6928.705025
